Date,Open,High,Low,Close,Volume
2006-08-28,99.1616,108.2975,95.5454,105.4901,60664652
2006-08-29,105.6328,107.3267,101.9309,102.6446,15716452
2006-08-30,102.2069,103.3299,99.2568,100.513,8139932
2006-08-31,99.923,103.5392,98.0197,102.4829,6683960
2006-09-01,102.5876,104.4909,101.8453,103.13,4704780
2006-09-04,103.1586,104.4909,86.1812,103.5297,2999152
2006-09-05,103.5392,105.8231,102.4924,105.195,3824532
2006-09-06,105.5757,107.0603,102.3972,103.0158,3830444
2006-09-07,103.7295,103.7295,100.8746,102.264,1404644
2006-09-08,102.5495,103.7105,101.1696,101.7882,1078636
2006-09-11,102.7684,103.7295,101.3028,102.007,1681864
2006-09-12,102.0071,104.0816,101.6359,102.3687,2056784
2006-09-13,102.9682,104.4908,102.9682,103.6724,1607788
2006-09-14,103.7676,106.1087,103.7486,104.6526,2138440
2006-09-15,104.7098,105.4425,102.5876,102.816,839132
2006-09-18,103.5392,106.9652,103.5392,104.015,897504
2006-09-19,104.31,118.737,104.015,111.2,19172256
2006-09-20,110.353,116.8433,109.1064,115.1588,9057312
2006-09-21,109.82,119.3365,109.82,115.9011,7104400
2006-09-22,118.9559,118.9559,112.9129,114.4165,2906004
2006-09-25,113.2936,116.4245,112.3039,112.97,2542148
2006-09-26,114.1596,119.1462,113.0557,117.5474,6943500
2006-09-27,117.9091,120.2501,117.3,117.8996,4061248
2006-09-28,118.8988,118.8988,115.7489,116.6719,1210420
2006-09-29,117.0526,119.9075,116.1009,117.6997,2381504
2006-10-03,117.8139,121.0209,117.0526,117.89,3202624
2006-10-04,118.3087,118.7655,116.1009,116.8052,1202696
2006-10-05,118.2327,119.5269,117.8139,118.7941,857264
2006-10-06,119.7172,121.8013,117.6521,118.2517,2473768
2006-10-09,117.6236,118.9369,116.1009,116.8718,961312
2006-10-10,118.0042,118.9178,116.1675,117.2144,840552
2006-10-11,118.0042,124.4374,118.0042,119.898,7770292
2006-10-12,120.764,121.2588,118.1945,119.8504,2884688
